Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:23,
Prep Recipe Name,CHilli Oil - Hot Fat,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Ingredient,, ,3 gal,1 Months,100%,10 mins,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$39.28394832,$0.00,$39.28394832,$13.09464944,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Shortening, Pork Lard",Product,9600 gram,100%,100%,$28.90633752,,
"Dry Goods,  Spice, Paprika, Powder - Spanish",Product,400 gram,100%,100%,$3.068838,,
"Dry Goods, Spice, Cayenne Pepper, Ground",Product,800 gram,100%,100%,$7.3087728,,
