Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:27,
Recipe Name,Chicken Waffle Cone,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$12,69.94115699404372%,$3.6070611607147525,30.05884300595627%,$0.00,0.00%,$3.6070611607147525,$3.6070611607147525/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Pasta, Cavatappi",Product,4 oz,100%,100%,$0.440375,,
"Dairy, Cream, Heavy",Product,2 fl ounce,100%,100%,$0.33843750000043,,
"Dairy, Cheese Sauce, Loaf, American",Product,5 oz,100%,100%,$1.034375,,
"Protein, Chicken, Tenders",Product,4 oz,100%,100%,$1.0025,,
Onion Ranch,PrepRecipe,2 oz,100%,100%,$0.14573954613097256,,
Pickled Shallot,PrepRecipe,1 oz,100%,100%,$0.30975911458335015,,
"Produce, Onions, Green",Product,1 oz,100%,100%,$0.09875,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,2 oz,100%,100%,$0.237125,,
"Dry Goods, Waffle Cone",Product,1 ea,100%,100%,$0,,
