Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:31,
Recipe Name,Collard Greens - Side Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,95.67918717230832%,$0.2160406413845843,4.320812827691686%,$0.00,0.00%,$0.2160406413845843,$0.2160406413845843/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Collard Greens Recipe,PrepRecipe,8 fl oz,100%,100%,$0.2160406413845843,,
