Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:17,
Prep Recipe Name,Collard Greens Recipe,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sides,,1 ea,22 qt,5 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$19.011576441843417,$0.00,$19.011576441843417,$0.8641625655383371/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Produce, Collard Green, Frozen, Chopped",Product,4 lb,100%,100%,$5.35888888888888,,
"Protein, Pork Belly, Diced, Hickory Smoked",Product,10 gram,100%,100%,$0.0140655075,,
"Produce, Onions, Yellow",Product,1 lb,100%,100%,$0.399,,
"Dry Goods, Chipotle Peppers, Can",Product,14 oz,100%,100%,$2.975,,
"Water, Tap",Product,4 quart,100%,100%,$0,,
"Dry Goods, Chicken Base, Paste",Product,15 oz,100%,100%,$4.03764204545454,,
"Dairy,  Clarified Butter",Product,1 lb,100%,100%,$5.2185,,
"Dry Goods, Sugar, White",Product,2 cup,100%,100%,$1.00848,,
