Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:02,
Prep Recipe Name,French Fries Recipe,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sides,,1 ea,5 oz, ,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$0.5269794973544962,$0.00,$0.5269794973544962,$0.10539589947089925/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Frozen, Potato, French Fries, Frozen",Product,5 oz,100%,100%,$0.413773148148147,,
"Dry Goods, Salt, Kosher",Product,0.5 oz,100%,100%,$0.0871527777777778,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,0.5 oz,100%,100%,$0.0260535714285714,,
