Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:30,
Recipe Name,Hot Fish,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$16,73.91445562472936%,$4.173687100043304,26.085544375270647%,$0.00,0.00%,$4.173687100043304,$4.173687100043304/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Bread,  Burger Bun",Product,1 ea,100%,100%,$0.62,,
"Protein, Catfish, Fillet, Fresh",Product,7 oz,100%,100%,$2.813125,,
"Dry Goods, MAYONNAISE  HVY PLST SHLF",Product,2 fl oz,100%,100%,$0.328789062500419,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,2 oz,100%,100%,$0.237125,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
