Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:29,
Recipe Name,Hot Honey Chicken Wings,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$13,82.5631226264215%,$2.266794058565205,17.4368773735785%,$0.00,0.00%,$2.266794058565205,$2.266794058565205/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Wing",Product,10 oz,100%,100%,$1.0875,,
"Dry Goods, Bread, Texas Toast",Product,1 slice,100%,100%,$0.219,,
"Dry Goods, Pickle, DIll, Slices",Product,1 oz,100%,100%,$0.0873240187714423,,
"Dry Goods, Shortening, Pork Lard",Product,1 oz,100%,100%,$0.0853625,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,3 oz,100%,100%,$0.3556875,,
Hot Honey Sauce,PrepRecipe,4 oz,100%,100%,$0.4319200397937628,,
