Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:27,
Prep Recipe Name,Mac Sauce,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,1, ,3 gallon,7 days,100%,1 mins,5 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$55.089253217235665,$0.00,$55.089253217235665,$18.363084405745223,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dairy, Milk, Whole",Product,2 gallon,100%,100%,$11.9400000000152,,
"Dairy, Cream, Heavy",Product,2 qt,100%,100%,$10.8300000000138,,
"Dry Goods, Salt, Kosher",Product,170 gram,100%,100%,$1.04523720833333,,
"Dairy, Cheese, Cheddar, Yellow Bar",Product,1240 gram,100%,100%,$11.18097615,,
"Dairy, Cheese Sauce, Loaf, American",Product,680 gram,100%,100%,$4.96216995,,
"Dry Goods, Olive and Truffle Oil",Product,86 gram,100%,100%,$5.83856490887334,,
Roux recipe,PrepRecipe,3.3 pound,100%,100%,$9.292304999999999,,
