Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:26,
Recipe Name,Nashville Hot Chicken,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea,3 mins,9 mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15.75,80.6743400363224%,$3.0437914442792207,19.32565996367759%,$0.00,0.00%,$3.0437914442792207,$3.0437914442792207/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,7 oz,100%,100%,$1.645,,
"Dry Goods, Bread, Texas Toast",Product,2 slice,100%,100%,$0.438,,
Onion Ranch,PrepRecipe,2 oz,100%,100%,$0.14573954613097256,,
Kale Kimchi Recipe,PrepRecipe,3 oz,100%,100%,$0.2382006250001007,,
"Dairy,  Clarified Butter",Product,0.5 oz,100%,100%,$0.163078125,,
"Frozen, Potato, French Fries, Frozen",Product,5 oz,100%,100%,$0.413773148148147,,
