Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:23,
Recipe Name,S-03 Plain Jane Sandwich,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$12,71.25843772365424%,$3.4489874731614916,28.74156227634576%,$0.00,0.00%,$3.4489874731614916,$3.4489874731614916/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,8 oz,100%,100%,$2.005,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,2 oz,100%,100%,$0.237125,,
"Dry Goods, Bread,  Burger Bun",Product,1 ea,100%,100%,$0.62,,
"Dry Goods, Mayonnaise, Heavy",Product,2 oz,100%,100%,$0.248711340206502,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
Hot Honey - 2025,PrepRecipe,2 oz,100%,100%,$0.1635030954121045,,
