Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:02,
Recipe Name,SD-03 LJ Mac,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,82.13051961996563%,$0.8934740190017191,17.869480380034382%,$0.00,0.00%,$0.8934740190017191,$0.8934740190017191/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Mac Sauce - Modified 2025,PrepRecipe,3 oz,100%,100%,$0.3430052690017191,,
"Dry Goods, Pasta, Cavatappi",Product,5 oz,100%,100%,$0.55046875,,
