Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:01,
Recipe Name,SD-04 Fried Corn Ribs,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,6 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,65.64379464285715%,$1.717810267857143,34.35620535714286%,$0.00,0.00%,$1.717810267857143,$0.2863017113095238/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Frozen, Corn Rib, Hickory Smoked",Product,6 oz,100%,100%,$1.665703125,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,1 oz,100%,100%,$0.0521071428571429,,
