vendor_name,product_count,unique_codes,priced_items,avg_price,min_price,max_price,category_count,categories
RESTAURANT DEPOT,75,75,75,22.2936,3.32,110.07,49,",Dairy,  Clarified Butter,Dairy, Cheese, Cheddar, Yellow Bar,Dairy, Cheese Sauce, Loaf, American,Dairy, Chesse, Parmesan, Grated,N/A Bev, DRINK SODA COLA COKE MEX GLS,N/A Bev, Coca Cola, Mexican, Bottle,Dairy, Cream, Heavy,Dry Goods, Croutons, Homestyle,Dry Goods, Caesar Dressing,Dry Goods, Ranch Dressing, with Jalapeno,Dry Goods, Sauce, Tartar,N/A Bev, Soda, Dr Pepper, Bottle,Dairy, Egg,Seafood, Cod, Battered, Wedges, Frozen,Dry Goods, Blue Cheese, Dry Mix,Dry Goods, Jalapenos, Sliced,N/A Bev, Soda, Jarritos, Lime,N/A Bev, Soda, Mandarin, Jarritos,N/A Bev, Soda, Jarritos, Strawberry,Produce, Limes, Fresh,Dry Goods, Mayonnaise, Heavy,Dry Food. Lemon Pepper,Dairy, Milk, Whole,N/A Bev, WATER PLST BTL CLR TWIST CAP,N/A Bev, Water, Still, Bottles,Produce, Cabbage, Red, Shredded,Produce, Carrot, Shredded,Produce, Celery Stalks, Fresh,Produce, Garlic, White, Whole Cloves,Produce, Collard Greens, Fresh, By Weight,Produce, Lemon Juice,Produce, Kale, Green, Fresh, by Count,Produce, Salad Mix, Kale, Shredded,Produce, Lettuce, Romaine,Produce, Onions, Green, wt,Produce, Shallots, Peeled, Fresh,Produce, Green Cabbage, Fresh, by Count,Dry Goods, Chipotle Peppers, Can,Dry Goods, Crackers, Ritz,Dry Goods, Sauce, Buffalo Wing Red Hot,Dry Good.SAUCE SOY,Dry Good, Sauce, Tabasco,Dry Goods, Shortening Oil, Clear,Protein, Shrimp, White,Dry Goods, Red Pepper, Crushed,Dry Goods, Spice, Cayenne Pepper, Ground,N/A Bev, Water, Mineral, Topo Chico, Bottle,Non Con, To Go Bags"
Jorge Garza,47,47,47,30.48,0.69,144.0,32,"Dairy, Egg,N/A Bev, Soda, Fresca, Mexican,Produce, Kale, Green, Fresh, by Count,Dry Goods, Oil, Canola, Clear, Frying,Produce, Onions, Green, wt,Produce, Carrots, Jumbo, Fresh,Dry Goods, Flour, All Purpose, White,Produce, Beetroot,  Red, Fresh,Dairy, Cheese Sauce, Loaf, American,N/A Bev, Soda, Sprite,,Produce, Cauliflower, Fresh,Dry Good,  Cayenne Pepper, Spice,Produce, Celery Stalks, Fresh,Dry Goods, Chicken Base, Paste,N/A Bev, DRINK SODA COLA COKE MEX GLS,Produce, Daikon Radish, Fresh,Produce, Parsley, Italian, Fresh,N/A Bev, SODA ORANGE MEXICAN GLASS,Produce, Lemon Juice,Dry Goods, Honey, Natural, by Volume,Dry Goods, Spice, Ghost Pepper,Produce, Onions, Green,Dairy, Cream, Heavy,N/A Bev, Soda, Jarritos, Strawberry,Produce, Onions, Yellow,Dry Goods, Mayonnaise, Heavy,Dry Goods,  Spice, Paprika, Powder,Produce, Onions, Red,Dry Goods, Pickle, DIll, Slices,N/A Bev, Water, Mineral, Topo Chico, Bottle,Dairy, Milk, Whole"
"JAKES, INC.",35,35,35,30.096571428571433,3.31,102.95,28,"Dairy,  Clarified Butter,Dairy, Cheese, Cheddar, Yellow Bar,Produce, Coleslaw Mix,N/A Bev,  Soda, Jarritos, Grapefruit,N/A Bev,. Soda, Sidral,Dairy, Egg,Protein, Catfish, Fillet, Fresh,Seafood, Cod, Loin,,Produce, Collard Green, Frozen, Chopped,N/A Bev, Lemonade, Sweet, Pure,Dry Goods, Mayonnaise, Heavy,Dry Goods, Olive and Truffle Oil,Produce, Onion, Yellow, Collossal,Dry Goods, Pasta, Cavatappi,Produce, Peppers, Red,Dry Goods, Pickle, DIll, Slices,Produce, Carrot, Shredded,Produce, Pepper, Habanero,Dry Goods, Sauce, Chile Sambal,Dry Goods, Sauce, Buffalo Wing Red Hot,Dry Goods, Sauce, Chilli & Garlic,Protein, Shrimp, White,Produce, Kale, Green, Fresh, by Weight,Dry Goods, Sugar, White,N/A Bev, Coca Cola, Mexican, Bottle,Produce, VINEGAR APPLE CIDER SPW LN,Dry Goods, Vinegar, Red Wine"
"JAKE'S, INC.",26,26,26,30.891538461538463,1.99,78.72,24,"Frozen, Bread, Texas Toast, White,,Produce, Celery Stalks, Fresh,Protein, Chicken, Wing,Dairy, Cream, Heavy,N/A Bev, Soda, Jarritos, Strawberry,Seafood, Haddock, Yuengling Beer Coated,Dry Goods, Ketchup Packets,Produce, Lettuce, Living,Non, Trash Can Liner, Black,Dairy, Milk, Whole,Dry Goods, Ranch Dressing, Mix, Dry,Dry Goods, Oil, Canola, Clear, Frying,Dry Goods, Oil, Canola, Salad,Dry Goods, Salt, Kosher,Dry Goods, Shortening Oil, Clear,,Protein, Shrimp, White,N/A Bev, Soda, Fanta, Orange, Mexican,Dry Goods, Lemon Pepper,N/A Bev, Tea, Regular,N/A Bev, Tea,  Sweet Brew, Pure,Dry Goods, Vinegar, Rice Wine,N/A Bev, Water, Still, Bottles,N/A Bev, Water, Mineral, Topo Chico, Bottle"
US Foods,22,22,22,21.849545454545453,3.47,68.29,21,"Dairy, Cheese, Monterray Jack,Protein, Chicken, Thighs,Dry Goods, Dressing, Honey Mustard,N/A Bev, Soda, Jarritos, Tamarind,Dairy, Egg,Dry Goods, Flour, All Purpose, White,Frozen, Potato, French Fries, Frozen,Dry Goods, Honey, Natural,Dry Goods, Ketchup Packets,Dry Goods, Shortening, Pork Lard,Dry Goods, Mayonnaise, Heavy,Dairy, Milk, Whole,Dry Goods, Mustard, Creole,Produce, Onions, Green, wt,Dry Goods, Pasta, Cavatappi,Dry Goods, Sauce, BBQ Hickory,Protein, Shrimp, White,Dry Goods, Sugar, White,Dry Goods, SO VINEGAR WH 50GR,Dry Goods, Vinegar, White,N/A Bev, Soda, Jarritos, Lime"
Restaurant Supply,19,19,19,32.61842105263158,0.75,85.0,0,
CB Commissary LLC,7,7,7,1.1457142857142857,0.57,2.19,7,"Dry Goods, Bread,  Burger Bun, 2.5 oz,Dry Goods, Bread,  Burger Bun, 2 oz,Dry Goods, Bread,  Burger Bun,Dry Goods, Bread, Texas Toast,Dry Goods, Bread, French Toast, Thick Slice,Dry Goods, Bread, French Toast, Thin Slice,Dessert, King Cake"
ALVARADO'S,7,7,7,34.857142857142854,28.0,40.0,6,"N/A Bev, Coca Cola, Mexican, Bottle,N/A Bev, Soda, Fresa, Fanta,N/A Bev, Soda, Fanta, Orange, Mexican,N/A Bev, Soda, Duranzo, Joya,N/A Bev, Soda, Pina, Joya,N/A Bev, Water, Mineral, Topo Chico, Bottle"
Buckhead Meat & Seafood OF HOUSTON,5,5,5,4.294,1.74,6.43,3,"Protein, Catfish, Fillet, Fresh,Protein, Chicken, Wing,Protein, Chicken, Tenders"
MJ Sweet and Cake,3,3,3,28.0,20.0,32.0,3,"Dessert, Banana Pudding,Dessert, Blueberry Bundt Cake,Dessert, Pecan Bundt Cake"
COMMON BOND BISTRO & BAKERY,2,2,2,1.405,0.62,2.19,2,"Dry Goods, Bread,  Burger Bun,Dry Goods, Bread, Texas Toast"
Sysco Houston,1,1,1,71.07,71.07,71.07,1,"Frozen, Corn Rib, Hickory Smoked"
ALTAMIRA LTD.,1,1,1,94.85,94.85,94.85,1,"Dry Goods, Chicken  Breading, Lea Jane Recipe"
