id,item_code,item_description,inventory_vendor,vd_vendor,vendor_description,description_status
784,472265,"N/A Bev, Soda, Fanta, Orange, Mexican","JAKE'S, INC.","JAKE'S, INC.","N/A Bev, SODA ORANGE MEXICAN GLASS",DIFFERENT
839,TEA030,"N/A Bev, Tea, Regular","JAKE'S, INC.","JAKE'S, INC.","N/A Bev, Tea,, 4oz, 3 Gal YIeld",DIFFERENT
877,CDNK24,"N/A Bev, Water, Still, Bottles","JAKE'S, INC.","JAKE'S, INC.","N/A Bev, WATER  PRFID PLST BTL TWIST",DIFFERENT
157,PCH007,"Dairy, Cheese, Cheddar, Yellow Bar","JAKES, INC.","JAKES, INC.","Dairy, Cheese Sauce, Loaf, American",DIFFERENT
163,NCHS64,"Dairy, Cheese, Cheddar, Yellow Bar","JAKES, INC.","JAKES, INC.","Dairy, Cheese Sauce, Loaf, American",DIFFERENT
477,DMIX11,"N/A Bev, Lemonade, Sweet, Pure","JAKES, INC.","JAKES, INC.","N/A Bev, LEMONADE SWEET BREW PURE",DIFFERENT
147,58897_XC6873465,"Dry Good,  Cayenne Pepper, Spice",Jorge Garza,Jorge Garza,Cayenne Pepper 40SHU,DIFFERENT
791,7.60696E+11,"Dry Goods, Red Pepper, Crushed",RESTAURANT DEPOT,RESTAURANT DEPOT,"Dry Goods, Spice, Cayenne Pepper, Ground",DIFFERENT
214,49000047790,"N/A Bev, DRINK SODA COLA COKE MEX GLS",RESTAURANT DEPOT,RESTAURANT DEPOT,"N/A Bev, Coca Cola, Mexican, Bottle",DIFFERENT
874,7.60695E+11,"Non Con, To Go Bags",RESTAURANT DEPOT,RESTAURANT DEPOT,"Dry Goods, Vinegar, White",DIFFERENT
742,BQSA21,"Dry Goods, Sauce, BBQ Hickory",US Foods,US Foods,"Dry Goods, Sauce, BBQ Applewood Bacon",DIFFERENT
871,OLVS11,"Dry Goods, Vinegar, White",US Foods,US Foods,"Dry Goods, SO VINEGAR WH 50GR",DIFFERENT
475,32165,"Dry Goods, Chicken  Breading, Lea Jane Recipe",ALTAMIRA LTD.,ALTAMIRA LTD.,"Dry Goods, Chicken  Breading, Lea Jane Recipe",IDENTICAL
208,165826_XC12097639,"N/A Bev, Coca Cola, Mexican, Bottle",ALVARADO'S,ALVARADO'S,"N/A Bev, Coca Cola, Mexican, Bottle",IDENTICAL
209,165826_XC12097641,"N/A Bev, Coca Cola, Mexican, Bottle",ALVARADO'S,ALVARADO'S,"N/A Bev, Coca Cola, Mexican, Bottle",IDENTICAL
444,165826_XC12097642,"N/A Bev, Soda, Duranzo, Joya",ALVARADO'S,ALVARADO'S,"N/A Bev, Soda, Duranzo, Joya",IDENTICAL
346,165826_XC12097643,"N/A Bev, Soda, Fanta, Orange, Mexican",ALVARADO'S,ALVARADO'S,"N/A Bev, Soda, Fanta, Orange, Mexican",IDENTICAL
345,165826_XC12097645,"N/A Bev, Soda, Fresa, Fanta",ALVARADO'S,ALVARADO'S,"N/A Bev, Soda, Fresa, Fanta",IDENTICAL
445,165826_XC12097644,"N/A Bev, Soda, Pina, Joya",ALVARADO'S,ALVARADO'S,"N/A Bev, Soda, Pina, Joya",IDENTICAL
852,165826_XC12097640,"N/A Bev, Water, Mineral, Topo Chico, Bottle",ALVARADO'S,ALVARADO'S,"N/A Bev, Water, Mineral, Topo Chico, Bottle",IDENTICAL
